sum	err
3.15582	0
3.14654	0.00928182
3.16864	0.0227452
3.13839	0.0342648
3.11907	0.0328239
3.10524	0.0301617
3.09701	0.0267872
3.10204	0.0237377
3.11507	0.024659
3.11606	0.0220781
3.10065	0.0252223
3.1037	0.0232259
3.09762	0.0222149
3.10267	0.0211779
3.10416	0.0197717
3.10283	0.0185426
3.1116	0.0195041
3.10304	0.0202842
3.10615	0.0194368
3.10988	0.0188145
3.11954	0.0203342
3.12894	0.0215478
3.12317	0.0213826
3.11812	0.0210869
3.11913	0.0202511
3.12102	0.0195484
3.11745	0.0191466
3.11816	0.0184637
3.12439	0.0188751
3.12821	0.0186301
3.12413	0.0184742
3.12378	0.017891
3.13119	0.0188586
3.13613	0.0189493
3.13278	0.0187025
3.13222	0.018184
3.13546	0.0179797
3.13633	0.0175215
3.14067	0.0176107
3.14013	0.0171734
3.14434	0.0172697
3.14476	0.0168588
3.14725	0.01665
3.14647	0.016286
3.14545	0.0159523
3.14924	0.0160539
3.1472	0.0158403
3.14336	0.0159748
3.14082	0.0158503
3.142	0.0155751
3.14482	0.0155235
3.14397	0.0152456
3.1435	0.0149626
3.14396	0.0146901
3.14274	0.014472
3.14365	0.0142402
3.14227	0.0140558
3.14104	0.0138659
3.13926	0.0137445
3.14136	0.0136758
3.14232	0.013484
3.14015	0.0134418
3.14278	0.0134855
3.14212	0.0132893
3.14243	0.0130869
3.14429	0.0130208
3.14382	0.0128336
3.14381	0.0126435
3.14234	0.0125463
3.14209	0.0123682
3.14336	0.0122588
3.14415	0.0121129
3.14397	0.0119472
3.14243	0.0118843
3.14389	0.0118155
3.1448	0.0116942
3.14462	0.0115427
3.14398	0.0114117
3.14612	0.0114668
3.14525	0.0113555
3.14625	0.0112585
3.14803	0.0112618
3.1485	0.0111354
3.14675	0.0111396
3.14566	0.0110624
3.14599	0.0109382
3.14611	0.0108123
3.14587	0.0106914
3.1464	0.0105842
3.14679	0.010473
3.14621	0.010373
3.1484	0.0104898
3.14882	0.0103848
3.14863	0.0102755
3.14851	0.0101675
3.14898	0.0100719
3.14758	0.0100654
3.14786	0.00996598
3.14858	0.00989118
3.14859	0.00979177
