val	err	valCont	errCont
4.89898	0	9.53393	0
4.79583	0.147407	8.89326	0.936097
6.37704	1.87999	10.08	1.62917
8	2.21565	8.93986	2.0791
7.50999	1.93452	9.25362	1.62606
8.64099	1.96674	8.57814	1.69753
9.39605	1.82102	9.09545	1.52318
9.11043	1.66878	9.12932	1.32161
8.84433	1.55425	8.94371	1.21659
8.7178	1.42287	9.04656	1.08925
8.81115	1.28703	8.72117	1.1102
8.76546	1.18585	8.56377	1.0534
8.48528	1.18201	8.58259	0.970138
8.57738	1.09469	8.44904	0.929749
8.6641	1.01967	8.33608	0.890368
8.89522	0.981308	8.15412	0.884104
9.03588	0.929699	7.95587	0.888849
8.99383	0.883567	8.29853	0.92015
8.86151	0.865842	8.53221	0.90307
9.10494	0.863531	8.5855	0.856833
9.36559	0.870994	8.61138	0.815179
9.91784	1.05477	8.75121	0.789109
10.1724	1.04028	9.33588	1.02262
10.1448	1.00079	9.18993	1.01052
10.1469	0.961528	9.1615	0.974412
10.1678	0.924205	9.14167	0.940061
10.3315	0.903694	9.02691	0.926852
10.1805	0.90435	9.39911	0.980573
10.1506	0.876917	9.51986	0.95055
9.98999	0.884292	9.87822	0.996742
9.96445	0.858994	9.73805	0.992059
9.87737	0.846329	9.8211	0.961581
9.96965	0.823656	9.81004	0.934532
9.93212	0.804058	9.90778	0.909312
9.91968	0.782716	9.99028	0.884613
9.90791	0.76249	9.95789	0.864135
9.88857	0.744085	10.2118	0.883579
9.84084	0.730586	10.1237	0.874187
9.95631	0.720926	10.1634	0.851492
9.90959	0.708761	10.2302	0.830966
9.99024	0.695107	10.4085	0.831016
10.0071	0.678401	10.3739	0.815307
10.3204	0.759187	10.3692	0.797372
10.2447	0.753246	10.2832	0.792695
10.2285	0.738334	10.2874	0.775525
10.136	0.737733	10.785	0.950586
10.1142	0.7244	10.7823	0.93161
10.0333	0.721905	10.7889	0.912831
9.94885	0.720589	10.7612	0.897531
9.996	0.706586	10.6992	0.8876
10.0059	0.692824	10.7775	0.871615
9.92278	0.692714	10.6889	0.867909
9.93374	0.679696	10.6869	0.852515
9.93311	0.667632	10.7296	0.836669
9.88295	0.661733	10.7091	0.823817
9.81435	0.659824	10.7583	0.809302
9.73148	0.661525	10.6718	0.807826
9.66865	0.658751	10.6669	0.794913
9.69711	0.647546	10.6607	0.782505
9.67988	0.638483	10.6813	0.769403
9.60191	0.640135	10.6221	0.764178
9.55966	0.634695	10.6361	0.751914
9.50856	0.630995	10.6227	0.741476
9.49506	0.622505	10.7431	0.739277
9.43806	0.620421	10.7055	0.731927
9.5219	0.616185	10.6559	0.726578
9.56517	0.607662	10.6054	0.721629
9.5886	0.598689	10.5848	0.713075
9.53863	0.596184	10.574	0.703937
9.5693	0.587819	10.5356	0.697962
9.54161	0.582289	10.4906	0.693147
9.50292	0.578475	10.4266	0.691776
9.46515	0.574684	10.3906	0.686042
9.40098	0.576015	10.3671	0.679045
9.40922	0.568393	10.3007	0.678728
9.40744	0.561345	10.3947	0.675593
9.36975	0.558166	10.352	0.671443
9.32463	0.556338	10.3431	0.663819
9.42391	0.558984	10.341	0.655971
9.48815	0.555228	10.3096	0.650866
9.52839	0.549186	10.2923	0.644434
9.53044	0.542709	10.3866	0.643147
9.72762	0.581926	10.4012	0.635379
9.74191	0.574966	10.3428	0.635067
9.7196	0.57023	10.3278	0.628959
9.67134	0.569299	10.2968	0.624643
9.71431	0.56369	10.3808	0.622693
9.68832	0.559703	10.3346	0.620734
9.6768	0.554427	10.318	0.61523
9.67701	0.548565	10.3312	0.608383
9.6465	0.545503	10.3156	0.60306
9.64703	0.539846	10.3166	0.596805
9.70977	0.537349	10.5547	0.648991
9.90916	0.578364	10.5003	0.648349
9.87074	0.576251	10.464	0.645098
9.85414	0.571673	10.4555	0.639249
10.0801	0.620241	10.4743	0.632624
10.1318	0.615183	10.5506	0.630046
10.1295	0.609453	10.5486	0.62415
10.1054	0.605489	10.5811	0.618129
