valUnif	errUnif	valPx	errPx
1.06226	0	0.99549	0
0.980392	0.0818726	1.00531	0.0098211
1.0326	0.0704295	0.99301	0.0135451
0.998894	0.0601367	0.994789	0.00974165
1.00267	0.0467346	0.992223	0.00797014
1.00866	0.0386261	0.992927	0.00654547
1.00589	0.0327625	0.994154	0.00566654
1.00585	0.0283732	0.99057	0.00607676
0.995994	0.0268932	0.992726	0.00577655
0.988977	0.0250564	0.991869	0.00523735
0.990506	0.0227159	0.994923	0.00563656
0.986138	0.0211918	0.995662	0.00519819
0.985987	0.0194942	0.99593	0.00478918
0.986175	0.0180491	0.996131	0.00443846
0.989088	0.0170535	0.996816	0.0041883
0.983378	0.0169433	0.997602	0.00399588
0.983918	0.0159246	0.998273	0.003813
0.985737	0.0151236	1.00069	0.00433143
0.985782	0.0143056	0.995974	0.00624601
0.988592	0.0138594	0.995911	0.00592583
0.990628	0.0133392	0.99534	0.00566535
0.992136	0.0128075	0.99478	0.00543072
0.993606	0.012326	0.995049	0.00519621
0.992936	0.0118203	0.995161	0.00497624
0.99106	0.0114918	0.995732	0.00480715
0.990955	0.0110414	0.99479	0.00471375
0.989079	0.010789	0.99506	0.00454386
0.988656	0.0104052	0.994317	0.00444112
0.98799	0.010062	0.994136	0.00428909
0.987856	0.00972177	0.994016	0.00414538
0.989081	0.00948235	0.993893	0.0040113
0.990118	0.00923962	0.994272	0.00390233
0.98775	0.00926299	0.995637	0.00402114
0.98994	0.00924954	0.995593	0.00390133
0.991172	0.00906539	0.995599	0.00378822
0.991558	0.00881846	0.995969	0.00370003
0.990083	0.00870275	0.996676	0.00366748
0.990577	0.00848502	0.997746	0.00372644
0.990878	0.00827008	0.997427	0.00364358
0.992105	0.0081535	0.998815	0.003813
0.992278	0.00795403	0.998396	0.00374241
0.992282	0.00776234	0.998913	0.00368872
0.992522	0.00758349	0.999775	0.00370346
0.993491	0.00747223	1.00012	0.00363475
0.993865	0.00731383	1.00039	0.00356331
0.994179	0.00715995	1.00065	0.00349497
0.994736	0.00702808	0.999921	0.00349754
0.994885	0.00688173	1.00022	0.00343672
0.994263	0.00676853	1.00036	0.0033688
0.994708	0.00664672	1.00045	0.00330204
0.994475	0.00651926	0.999485	0.0033778
0.995301	0.00644585	0.999226	0.00332231
0.994671	0.00635436	0.998916	0.00327369
0.995537	0.00629545	0.999193	0.00322436
0.996206	0.00621604	0.999046	0.00316859
0.996387	0.00610669	0.998789	0.00312206
0.995295	0.00609723	0.998927	0.00306991
0.996398	0.00609185	0.999451	0.00306164
0.997141	0.00603369	0.999494	0.00300961
0.996606	0.00595637	0.999105	0.00298446
0.998228	0.00607824	0.998835	0.00294753
0.996842	0.00613784	0.998595	0.00290952
0.996764	0.00604014	0.998509	0.00286426
0.996815	0.00594523	0.998293	0.00282739
0.996217	0.00588347	0.998307	0.00278358
0.996227	0.00579365	0.997929	0.0027671
0.994381	0.00599767	0.997511	0.00275726
0.994588	0.00591246	0.997689	0.00272225
0.993951	0.00586083	0.99798	0.00269819
0.992195	0.00603754	0.997818	0.00266426
0.99197	0.00595615	0.998551	0.00272663
0.991883	0.00587349	0.999045	0.00273356
0.991575	0.00580065	0.998639	0.00272628
0.9931	0.0059215	0.99851	0.00269229
0.99325	0.00584393	0.998749	0.0026669
0.992574	0.00580597	0.998662	0.002633
0.993754	0.00585032	0.998535	0.0026017
0.993042	0.00581865	0.998829	0.00258489
0.992269	0.00579623	0.998381	0.00259094
0.992013	0.00572903	0.998314	0.00255922
0.990844	0.00577744	0.9986	0.00254357
0.990379	0.00572547	0.998933	0.00253429
0.990755	0.00566859	0.998451	0.00254941
0.990917	0.00560302	0.998674	0.00252871
0.992088	0.00565927	0.998996	0.00251943
0.99209	0.00559308	0.999206	0.0024988
0.99242	0.00553824	0.999327	0.00247288
0.993416	0.00556479	0.999697	0.00247241
0.994062	0.00553975	0.999857	0.0024497
0.993776	0.00548529	1.00008	0.00243224
0.995212	0.00561135	1.00046	0.0024363
0.995992	0.00560464	1.00034	0.00241266
0.996467	0.00556435	1.00075	0.00242156
0.996517	0.00550507	1.00114	0.00242669
0.997253	0.00549627	1.00112	0.00240107
0.997581	0.0054486	1.00133	0.00238527
0.997496	0.00539279	1.00149	0.00236593
0.997946	0.00535636	1.00139	0.00234399
0.998376	0.00531938	1.00158	0.00232792
0.997939	0.00528403	1.00178	0.00231297
