C_Direct	err_C_Direct	C_Disc	err_C_Disc	P_Direct	err_P_Direct	P_Disc	err_P_Disc
15.7375	0	14.7023	0	5.50927	0	5.13056	0
15.4157	0.321776	15.0594	0.357154	5.48222	0.0270449	5.27205	0.141498
15.2814	0.229225	14.9576	0.229959	5.4596	0.0274865	5.29618	0.0851831
15.2701	0.162482	14.7461	0.26683	5.5771	0.1191	5.35865	0.0867776
15.0083	0.290475	14.8699	0.240943	5.56701	0.0928047	5.31679	0.0791903
14.9337	0.248613	15.0087	0.240773	5.54237	0.0796825	5.33853	0.0682167
15.0223	0.228007	15.0812	0.216022	5.52919	0.0686204	5.29107	0.0746772
15.1611	0.241352	15.0531	0.189176	5.53265	0.0595275	5.31189	0.0679419
15.1115	0.218556	15.065	0.16726	5.51015	0.0571184	5.30129	0.0608496
15.0817	0.197732	14.9777	0.173237	5.54663	0.06278	5.32956	0.0613328
15.0003	0.196505	14.9346	0.162505	5.58604	0.0691202	5.33141	0.0555082
15.0214	0.180618	14.9144	0.149713	5.50538	0.102408	5.34849	0.0534722
15.045	0.167805	14.9104	0.137776	5.45621	0.106265	5.37773	0.0572237
15.0392	0.155464	14.8554	0.138887	5.43069	0.101636	5.38449	0.0534087
14.9702	0.160352	14.8744	0.130679	5.46113	0.0993924	5.36562	0.0531832
14.9757	0.150099	14.9441	0.140723	5.46301	0.0929922	5.35992	0.0500736
14.8863	0.16697	15.0634	0.17804	5.49885	0.0944166	5.34187	0.0503795
14.9503	0.16994	15.0702	0.167999	5.50089	0.0890402	5.35678	0.0497826
14.9448	0.16084	15.0201	0.16663	5.50694	0.0844405	5.36897	0.0486438
14.9222	0.154252	14.9953	0.160006	5.49142	0.0815957	5.37899	0.047221
14.9246	0.146743	15.0371	0.157827	5.48983	0.0776293	5.36676	0.0465508
14.9498	0.142152	15.0333	0.150533	5.47903	0.0748012	5.38932	0.0497878
14.9184	0.139416	15.0485	0.14465	5.49205	0.0726514	5.37881	0.04872
14.9126	0.133605	15.0171	0.142013	5.50424	0.0706193	5.38483	0.0470329
14.915	0.128173	15.0533	0.14093	5.49623	0.0682075	5.36533	0.0491481
14.934	0.124597	15.0134	0.141139	5.49527	0.0655388	5.37656	0.0485371
14.9584	0.122358	14.9746	0.141249	5.49053	0.0632423	5.38936	0.048429
14.9834	0.120512	15.0136	0.141593	5.47888	0.0620457	5.38319	0.0470748
14.9902	0.116486	15.0501	0.141396	5.47845	0.0598695	5.37377	0.0463875
14.9864	0.112602	15.0187	0.14016	5.47778	0.0578433	5.39156	0.0482154
14.9892	0.108947	15.0105	0.135808	5.48719	0.056731	5.38494	0.0471012
15.0195	0.109731	15.0275	0.132588	5.48839	0.0549427	5.38438	0.045609
15.0006	0.108015	15.0461	0.12985	5.486	0.0533053	5.38207	0.0442658
15.0104	0.10525	15.0452	0.125976	5.48019	0.0520392	5.39224	0.0441322
15.0066	0.10227	15.0221	0.124486	5.46779	0.0520289	5.38625	0.0432686
14.9784	0.103326	15.0119	0.121411	5.48221	0.0525789	5.39086	0.0423015
14.9845	0.100683	14.9999	0.118688	5.48199	0.0511386	5.38844	0.0412134
14.9989	0.0990511	14.9917	0.115815	5.47593	0.0501427	5.39373	0.0404612
15.0039	0.0966046	14.9938	0.112826	5.4699	0.0492105	5.40143	0.0401555
15.0018	0.0941816	14.9565	0.116117	5.46923	0.0479691	5.41794	0.0424764
14.9777	0.0949668	14.9816	0.116004	5.4668	0.0468474	5.40544	0.0432698
14.9854	0.0929986	14.9517	0.117099	5.46092	0.046095	5.41532	0.0433671
15.0048	0.092849	14.9516	0.114343	5.46182	0.0450192	5.41192	0.042483
15.0258	0.0931314	14.9388	0.112443	5.45733	0.0442134	5.41385	0.0415511
15.0112	0.0922145	14.9207	0.1114	5.46283	0.0435683	5.42336	0.0417151
14.992	0.0921952	14.9373	0.110212	5.47662	0.0447876	5.42479	0.0408232
14.9914	0.0902148	14.9354	0.107858	5.48425	0.0444833	5.42462	0.0399456
14.9806	0.0889661	14.9296	0.105748	5.4786	0.0439111	5.4284	0.0392861
14.9524	0.0915995	14.9395	0.104042	5.47322	0.0433418	5.42395	0.0387323
14.9575	0.0898986	14.9594	0.103868	5.47459	0.0424884	5.42007	0.0381472
14.9619	0.0882275	14.9621	0.101846	5.46679	0.0423706	5.42135	0.0374137
14.9619	0.0865142	14.9622	0.0998684	5.46729	0.0415508	5.41876	0.0367783
14.9604	0.084879	14.947	0.0991276	5.46625	0.0407726	5.41686	0.0361278
14.9531	0.083617	14.9249	0.0997582	5.47009	0.0401945	5.41712	0.0354534
14.9689	0.0836063	14.9317	0.0981612	5.4722	0.0395133	5.41999	0.0349211
14.9481	0.0846991	14.9375	0.0965678	5.4783	0.0392773	5.41744	0.0343866
14.9539	0.0834006	14.9409	0.0949201	5.4811	0.0386833	5.42164	0.0340383
14.9481	0.0821561	14.9375	0.0933315	5.47614	0.0383324	5.42096	0.0334532
14.9646	0.0824154	14.9363	0.0917444	5.46942	0.0382712	5.42212	0.0329018
14.9475	0.0827997	14.9198	0.0916912	5.46959	0.0376283	5.42901	0.0330746
14.9364	0.0821874	14.9213	0.0901885	5.47411	0.0372809	5.42561	0.0327048
14.9388	0.080886	14.917	0.0888262	5.46864	0.0370793	5.42198	0.0323773
14.938	0.0795962	14.9103	0.0876634	5.4661	0.0365746	5.42927	0.0326834
14.9519	0.0795775	14.923	0.0872154	5.4623	0.0361986	5.42021	0.0334202
14.9672	0.0798283	14.9175	0.0860376	5.45955	0.0357435	5.42614	0.0334319
14.9615	0.0788212	14.9225	0.084868	5.46314	0.0353807	5.42337	0.033038
14.9692	0.0780236	14.9185	0.0836867	5.46141	0.0348915	5.42678	0.0327196
14.9669	0.0769048	14.9118	0.0827193	5.46189	0.0343779	5.42904	0.0323137
14.9689	0.0758097	14.9129	0.0815187	5.45713	0.0342084	5.42874	0.0318433
14.964	0.0748791	14.9153	0.0803817	5.45484	0.0337938	5.4252	0.0315846
14.9742	0.0745166	14.9184	0.079304	5.454	0.033325	5.41883	0.0317814
14.9988	0.0774973	14.9193	0.0781995	5.45023	0.0330747	5.41687	0.0313978
15.0105	0.0773099	14.9362	0.0789621	5.44919	0.0326349	5.42101	0.0312395
15.0134	0.0763127	14.9388	0.0779294	5.44561	0.0323903	5.42303	0.030881
15.0141	0.0752921	14.9296	0.0774277	5.44324	0.0320432	5.43098	0.031485
15.011	0.074361	14.9386	0.0769271	5.43512	0.0326444	5.4287	0.0311512
15.0097	0.0733996	14.9612	0.0792255	5.43536	0.0322186	5.42874	0.030744
15.0147	0.0726203	14.961	0.0782034	5.42869	0.0324943	5.43066	0.0304077
15.0122	0.0717392	14.9589	0.0772384	5.43072	0.0321444	5.43428	0.030238
15.0162	0.0709519	14.9456	0.0774077	5.43356	0.0318669	5.43858	0.0301648
15.0192	0.070136	14.9467	0.0764539	5.43567	0.0315416	5.44484	0.0304417
15.0114	0.0697128	14.944	0.0755632	5.43781	0.031228	5.44538	0.0300729
15.0098	0.0688869	14.9427	0.0746589	5.4385	0.0308572	5.44065	0.030082
15.0063	0.0681512	14.9459	0.073834	5.4423	0.0307241	5.44009	0.0297269
14.9998	0.0676613	14.9429	0.073023	5.44388	0.0304014	5.43998	0.0293753
14.9937	0.067145	14.9437	0.0721737	5.44293	0.0300608	5.43504	0.0294496
14.9844	0.0670114	14.9517	0.0717815	5.44588	0.0298594	5.43088	0.0294052
14.9816	0.0663048	14.9518	0.0709612	5.44055	0.0299966	5.42877	0.0291454
14.9827	0.0655634	14.9547	0.0702211	5.44071	0.0296581	5.43473	0.0294257
14.981	0.0648523	14.9517	0.0695012	5.44227	0.0293678	5.43585	0.0291184
14.9748	0.0644314	14.9428	0.0693103	5.44942	0.0299123	5.44271	0.0296022
14.9735	0.0637404	14.9294	0.0698392	5.45095	0.0296249	5.449	0.0299468
14.9743	0.0630561	14.9295	0.0690842	5.45028	0.0293124	5.44364	0.0301029
14.9757	0.062397	14.9232	0.0686312	5.44872	0.0290408	5.44371	0.029781
