St_Direct	St_Discret
113.931	201.812
87.929	111.569
82.9085	79.2906
149.741	148.357
144.984	96.1907
121.341	123.96
164.448	102.272
93.4649	113.952
88.2302	87.4826
102.868	104.75
107.403	107.379
114.144	61.6307
108.31	119.722
80.5248	103.652
108.52	106.516
83.9918	148.788
79.1206	127.016
113.344	113.489
108.709	108.2
143.399	117.182
82.6461	80.0616
116.246	70.1447
145.624	122.878
101.491	142.283
127.704	153.02
98.9975	94.5648
162.789	141.328
128.101	102.82
180.317	124.597
168.852	85.4881
121.562	84.5577
144.84	74.9517
59.6294	146.493
106.934	139.719
100.634	142.851
142.632	98.5692
127.313	112.552
95.2447	77.613
121.13	78.7053
152.657	102.311
117.307	81.072
82.0446	110.468
117.274	90.8907
151.201	92.0128
95.2587	88.6042
71.4149	129.77
139.422	111.531
66.5	65.5717
130.652	85.3101
134.104	151.128
129.107	89.1718
185.457	138.292
94.0743	94.5142
165.531	131.933
144.986	91.7016
137.742	76.6091
120.853	112.941
140.027	100.696
84.4799	95.8227
154.684	124.155
108.672	89.1353
101.504	111.038
90.0957	124.534
172.563	107.746
115.497	218.901
117.806	140.497
151.078	73.9734
117.862	100.39
137.369	91.9535
182.037	113.849
105.804	94.5765
84.3327	153.726
80.705	101.201
106.172	106.249
113.684	161.6
104.042	174.181
123.447	101.45
111.606	97.1005
200.429	117.445
102.069	96.969
107.47	103.47
71.7891	124.561
133.805	86.6251
123.314	134.468
98.0642	94.5928
70.559	75.0288
78.507	172.488
83.4716	67.84
106.948	142.753
95.6244	103.863
84.4442	122.531
112.086	66.5071
136.275	181.817
139.741	87.8054
129.94	57.2676
106.111	99.3419
123.314	96.399
163.967	141.237
131.414	95.6082
99.3304	105.558
85.8674	89.9408
129.285	130.885
125.529	114.581
138.445	76.5245
126.648	114.277
113.822	121.315
79.8149	87.3808
84.14	61.1791
99.3912	76.5761
181.679	87.9131
90.1348	140.396
116.754	205.94
115.251	117.615
102.908	120.282
100.009	129.513
114.818	120.159
117.149	66.4496
78.1861	94.263
162.553	179.945
136.676	112.228
116.184	115.402
72.8364	98.7811
161.668	119.817
181.84	142.602
118.072	152.235
126.395	120.607
86.1375	94.9951
100.113	115.338
85.3053	138.061
70.2992	107.742
120.332	82.6849
94.504	88.5025
102.617	130.053
80.8888	137.828
93.0863	127.461
100.533	93.2061
129.825	104.93
104.222	100.286
90.4499	149.426
92.6919	133.057
132.585	146.143
78.29	96.9205
84.9981	93.806
111.284	90.5375
82.6404	87.0984
135.062	89.5378
78.5361	68.2503
69.8503	77.554
105.131	66.4435
103.761	140.076
89.5677	135.917
78.8582	115.528
238.043	107.284
71.8775	115.324
88.2084	70.9455
115.92	122.132
88.8802	100.513
103.779	102.994
99.2568	113.065
74.7109	100.557
164.008	111.754
125.6	91.7797
136.64	63.1166
82.8482	65.402
122.448	88.1027
115.137	64.7098
78.951	99.1613
112.07	78.5684
106.902	126.123
68.0776	105.992
104.961	142.571
101.557	123.492
158.988	118.702
111.988	191.061
140.177	139.006
127.875	102.115
128.795	117.593
117.368	68.5387
159.838	103.273
82.4928	94.1202
89.6019	86.8453
197.451	108.484
84.9283	148.912
98.7929	101.143
125.664	84.3927
73.0962	97.3739
63.6642	117.692
135.261	131.8
91.1142	74.5714
189.808	117.24
143.406	143.827
123.72	94.4553
108.9	72.8192
133.916	123.703
75.8832	114.071
85.8511	103.728
124.869	114.506
113.132	96.545
91.0463	117.484
219.362	105.718
111.385	96.6153
133.644	92.1931
122.5	91.9055
71.181	142.359
69.0163	118.378
104.46	137.721
74.8719	94.1566
86.2749	129.124
136.744	94.2365
66.8836	92.2724
149.282	130.604
55.6027	107.681
45.2717	99.6214
124.264	116.944
164.817	116.377
93.6725	99.3634
131.841	141.249
99.392	118.355
115.464	95.7006
108.198	132.025
105.034	71.6072
143.466	104.036
108.169	118.089
108.62	113.094
80.0217	123.584
116.077	121.181
129.829	63.8684
87.705	104.735
81.2902	57.3919
96.5222	123.956
87.7096	103.845
83.8206	96.9089
119.994	85.2236
101.302	81.9476
95.2472	83.4897
170.209	140.011
134.304	82.9336
138.315	113.429
103.826	128.776
80.9273	103.176
75.2945	103.699
112.078	113.393
71.5041	107.741
103.263	116.906
83.9791	96.8224
95.3973	75.1818
97.6803	88.4157
86.873	120.531
151.412	207.987
110.41	99.5038
91.953	116.455
76.7868	119.941
119.255	79.4668
73.682	115.303
82.8391	102.853
119.25	96.334
149.96	110.208
74.0091	153.808
84.9532	132.306
111.516	99.2436
85.2787	100.723
76.9508	102.457
117.69	85.851
109.602	113.386
87.519	156.29
101.853	93.067
121.942	136.763
94.9196	112.79
157.414	141.636
129.103	107.176
120.245	143.985
115.817	132.16
106.258	132.685
